,usaf,name,state,lat,lon
314,749485,ROHNERVILLE AIRPORT,CA,40.554,-124.133
315,749486,NEVADA COUNTY AIR PARK,CA,39.224,-121.003
316,998223,ALEXANDRIA BAY,NY,44.333,-75.933
317,998474,DAVIS POINT  SAN PABLO BAY,CA,38.057,-122.259
318,998475,MARTINEZ-AMORCO,CA,38.033,-122.125
319,998476,OAKLAND (BERTH 34)           ,CA,37.811,-122.333
320,998477,RICHMOND (POINT POTRERO)     ,CA,37.906,-122.365
321,998478,PITTSBURG (SUISUN BAY)       ,CA,38.042,-121.887
322,998479,SAN FRANCISCO (PIER 1)       ,CA,37.798,-122.393
323,998473,LOUISIANA OFFSHORE OIL PORT,LA,28.885,-90.024
324,720952,GRAY BUTTE FLD,CA,34.564,-117.675
325,720953,MAIN PASS 289 C OIL PLATFORM ,LA,29.248,-88.441
326,720954,ALAMINOS CANYON,TX,26.933,-94.683
327,747761,TRI CO,FL,30.846,-85.601
328,720948,JIMMY CARTER REGIONAL AIRPORT,GA,32.11,-84.189
329,720951,EAST GEORGIA REGIONAL AIRPORT,GA,32.609,-82.37
330,720949,CAMDENTON MEMORIAL AIRPORT,MO,37.974,-92.691
331,720936,ALWOOD NDB,NC,35.707,-77.372
332,998442,CUTLER FARRIS WHARF,ME,44.657,-67.21
333,998440,KATRINA CUT,AL,30.258,-88.213
334,998439,CEDAR POINT,AL,30.308,-88.14
335,720947,COOPERSTOWN MUNI,ND,47.423,-98.106
336,704898,ROBERT (BOB) CURTIS MEMORIAL,AK,66.818,-161.022
337,720945,QUINCY MUNI ARPT,FL,30.6,-84.55
338,720943,HARRISON COUNTY AIRPORT,TX,32.521,-94.308
339,720935,PETALUMA MUNI,CA,38.258,-122.606
340,720942,WAHOO MUNICIPAL AIRPORT,NE,41.233,-96.6
341,720941,HARVEY MUNI,ND,47.791,-99.932
342,744660,JASPER COUNTY AIRPORT,IN,40.948,-87.183
343,720939,OAKES MUNI,ND,46.173,-98.08
344,720933,LINTON MUNICIPAL AIRPORT,ND,46.218,-100.245
345,720934,WRAY MUNI,CO,40.1,-102.241
347,720975,HAGLER AAF / CAMP SHELBY MISS,MS,31.174,-89.191
348,720944,BELLEFONTAINE REGIONAL AIRPOR,OH,40.367,-83.817
349,720946,FERNANDINA BEACH MUNICIPAL AI,FL,30.617,-81.467
350,720499,HAMPTON ROADS EXECUTIVE AIRPO,VA,36.783,-76.45
351,720739,MINDEN AIRPORT,LA,32.646,-93.298
352,720932,BROOKHAVEN LINCOLN COUNTY AIR,MS,31.606,-90.409
